premiere_season,category,trait_name,trait_key,premiere_body_types,all_seasons_present,body_types_by_season,premiere_asset_count,representative_asset_path,all_premiere_asset_paths,source_paths,collapsed_variant_names
Season 1,Background,Glitch,Background::glitch,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Glitch BLANK.png,Canonical Trait Media/Season 1/Female/Background/Glitch BLANK.png | Canonical Trait Media/Season 1/Female/Background/Glitch STATIC.png | Canonical Trait Media/Season 1/Male/Background/Glitch.png | Canonical Trait Media/Season 1/Shared/Background/Glitch.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Glitch BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Glitch BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Glitch STATIC.png | ALL/1 MALE/S1 ALL/Background/Glitch.png | ALL/SKELETON/Background/Glitch BLANK.png | ANIMATIONS/S1 Backgrounds/Glitch.mp4,Glitch BLANK | Glitch STATIC
Season 1,Background,Gradient Bright,Background::gradient bright,Female|Male|Skeleton|Shared,Season 1|Season 2|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 2: Female|Male|Ape|Shared ; Season 3: Female|Male,4,Canonical Trait Media/Season 1/Female/Background/Gradient Bright.png,Canonical Trait Media/Season 1/Female/Background/Gradient Bright.png | Canonical Trait Media/Season 1/Male/Background/Gradient Bright.png | Canonical Trait Media/Season 1/Shared/Background/Gradient Bright.png | Canonical Trait Media/Season 1/Skeleton/Background/Gradient Bright.png,ALL/1 FEMALE/S1 ALL/Background/Gradient Bright.png | ALL/1 MALE/S1 ALL/Background/Gradient Bright.png | ALL/SKELETON/Background/Gradient Bright.png | FINAL EXPORT/0 - Backgrounds/Gradient Bright.png,
Season 1,Background,Gradient Pink Blue,Background::gradient pink blue,Female|Male|Skeleton|Shared,Season 1|Season 2|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 2: Female|Male|Ape|Shared ; Season 3: Female|Male,4,Canonical Trait Media/Season 1/Female/Background/Gradient Pink Blue.png,Canonical Trait Media/Season 1/Female/Background/Gradient Pink Blue.png | Canonical Trait Media/Season 1/Male/Background/Gradient Pink Blue.png | Canonical Trait Media/Season 1/Shared/Background/Gradient Pink Blue.png | Canonical Trait Media/Season 1/Skeleton/Background/Gradient Pink Blue.png,ALL/1 FEMALE/S1 ALL/Background/Gradient Pink Blue.png | ALL/1 MALE/S1 ALL/Background/Gradient Pink Blue.png | ALL/SKELETON/Background/Gradient Pink Blue.png | FINAL EXPORT/0 - Backgrounds/Gradient Pink Blue.png,
Season 1,Background,Gradient Yellow Green,Background::gradient yellow green,Shared,Season 1,Season 1: Shared,1,Canonical Trait Media/Season 1/Shared/Background/Gradient Yellow Green.png,Canonical Trait Media/Season 1/Shared/Background/Gradient Yellow Green.png,FINAL EXPORT/0 - Backgrounds/Gradient Yellow Green.png,
Season 1,Background,Irridescent,Background::irridescent,Female|Male|Skeleton|Shared,Season 1|Season 2|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 2: Female|Male|Ape|Shared ; Season 3: Female|Male,4,Canonical Trait Media/Season 1/Female/Background/Irridescent.png,Canonical Trait Media/Season 1/Female/Background/Irridescent.png | Canonical Trait Media/Season 1/Male/Background/Irridescent.png | Canonical Trait Media/Season 1/Shared/Background/Irridescent.png | Canonical Trait Media/Season 1/Skeleton/Background/Irridescent.png,ALL/1 FEMALE/S1 ALL/Background/Irridescent.png | ALL/1 MALE/S1 ALL/Background/Irridescent.png | ALL/SKELETON/Background/Irridescent.png | FINAL EXPORT/0 - Backgrounds/Irridescent.png,
Season 1,Background,Laflame,Background::laflame,Female|Male|Skeleton|Shared,Season 1|Season 2|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 2: Female|Male|Ape|Shared ; Season 3: Female|Male|Shared,4,Canonical Trait Media/Season 1/Female/Background/Laflame.png,Canonical Trait Media/Season 1/Female/Background/Laflame.png | Canonical Trait Media/Season 1/Male/Background/Laflame.png | Canonical Trait Media/Season 1/Shared/Background/Laflame.png | Canonical Trait Media/Season 1/Skeleton/Background/Laflame.png,ALL/1 FEMALE/S1 ALL/Background/Laflame.png | ALL/1 MALE/S1 ALL/Background/Laflame.png | ALL/SKELETON/Background/Laflame.png | FINAL EXPORT/0 - Backgrounds/Laflame.png,
Season 1,Background,Lucid Dreams,Background::lucid dreams,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male|Shared,4,Canonical Trait Media/Season 1/Female/Background/Lucid Dreams.png,Canonical Trait Media/Season 1/Female/Background/Lucid Dreams.png | Canonical Trait Media/Season 1/Male/Background/Lucid Dreams.png | Canonical Trait Media/Season 1/Shared/Background/Lucid Dreams.png | Canonical Trait Media/Season 1/Skeleton/Background/Lucid Dreams.png,ALL/1 FEMALE/S1 ALL/Background/Lucid Dreams.png | ALL/1 MALE/S1 ALL/Background/Lucid Dreams.png | ALL/SKELETON/Background/Lucid Dreams.png | FINAL EXPORT/0 - Backgrounds/Lucid Dreams.png,
Season 1,Background,Moving Blue Clouds,Background::moving blue clouds,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Moving Blue Clouds BLANK.png,Canonical Trait Media/Season 1/Female/Background/Moving Blue Clouds BLANK.png | Canonical Trait Media/Season 1/Female/Background/Moving Blue Clouds STATIC.png | Canonical Trait Media/Season 1/Male/Background/Moving Blue Clouds.png | Canonical Trait Media/Season 1/Shared/Background/Moving Blue Clouds.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Moving Blue Clouds BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Moving Blue Clouds BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Moving Blue Clouds STATIC.png | ALL/1 MALE/S1 ALL/Background/Moving Blue Clouds.png | ALL/SKELETON/Background/Moving Blue Clouds BLANK.png | ANIMATIONS/S1 Backgrounds/Moving Blue Clouds.mp4,Moving Blue Clouds BLANK | Moving Blue Clouds STATIC
Season 1,Background,Moving Pink Clouds,Background::moving pink clouds,Female|Male|Skeleton|Shared,Season 1|Season 3,Season 1: Female|Male|Skeleton|Shared ; Season 3: Female|Male,5,Canonical Trait Media/Season 1/Female/Background/Moving Pink Clouds BLANK.png,Canonical Trait Media/Season 1/Female/Background/Moving Pink Clouds BLANK.png | Canonical Trait Media/Season 1/Female/Background/Moving Pink Clouds STATIC.png | Canonical Trait Media/Season 1/Male/Background/Moving Pink Clouds.png | Canonical Trait Media/Season 1/Shared/Background/Moving Pink Clouds.mp4 | Canonical Trait Media/Season 1/Skeleton/Background/Moving Pink Clouds BLANK.png,ALL/1 FEMALE/S1 ALL/Background/Moving Pink Clouds BLANK.png | ALL/1 FEMALE/S1 ALL/Background/Moving Pink Clouds STATIC.png | ALL/1 MALE/S1 ALL/Background/Moving Pink Clouds.png | ALL/SKELETON/Background/Moving Pink Clouds BLANK.png | ANIMATIONS/S1 Backgrounds/Moving Pink Clouds.mp4,Moving Pink Clouds BLANK | Moving Pink Clouds STATIC
Season 1,Background,Paintsplosion,Background::paintsplosion,Female|Male|Skeleton,Season 1|Season 2|Season 3,Season 1: Female|Male|Skeleton ; Season 2: Female|Male|Ape|Shared ; Season 3: Female|Male,3,Canonical Trait Media/Season 1/Female/Background/Paintsplosion.png,Canonical Trait Media/Season 1/Female/Background/Paintsplosion.png | Canonical Trait Media/Season 1/Male/Background/Paintsplosion.png | Canonical Trait Media/Season 1/Skeleton/Background/Paintsplosion.png,ALL/1 FEMALE/S1 ALL/Background/Paintsplosion.png | ALL/1 MALE/S1 ALL/Background/Paintsplosion.png | ALL/SKELETON/Background/Paintsplosion.png,
